APN,New AIN,Old AIN
2620001009,2620-001-025,2620-001-009*
2631001016,2631-001-035,2631-001-016*
2631001017,2631-001-900,2631-001-017*
2638026001,2638-026-036,2638-026-001*
2638026002,2638-026-037,2638-026-002*
2638026003,2638-026-038,2638-026-003*
2638026004,2638-026-039,2638-026-004*
2649012006,,
2650019024,2650-019-043,2650-019-024*
2650034022,2650-034-056,2650-034-022*
2654025044,2654-025-173,2654-025-044*
2654027008,,
2656018032,2656-018-032,2656-018-032*
2656026031,,
2696001007,,
2733014033,,
2734031014,2734-031-027,2734-031-014*
2770017006,,
2785010002,,
2785018029,2785-018-069,2785-018-029*
2786005011,2786-005-032,2786-005-011*
2786005012,2786-005-032,2786-005-012*
4004007002,,
4005002011,4005-002-023,4005-002-011*
4005006022,,
4005010006,,
4006001011,,
4006004012,4006-004-032,4006-004-012*
4006006001,4006-006-035,4006-006-001*
4006007008,,
4006008019,,
4006018005,,
4006019008,,
4006020010,4006-020-047,4006-020-010*
4006020014,4006-020-047,4006-020-014*
4006020025,,
4012030002,,
4103008016,4103-008-099,4103-008-016*
4103008017,4103-008-099,4103-008-017*
4103009003,4103-009-097,4103-009-003*
4103009011,4103-009-098,4103-009-011*
4103009012,4103-009-098,4103-009-012*
4103009013,4103-009-098,4103-009-013*
4103010023,,
4103010024,4103-010-030,4103-010-024*
4103012016,,
4103015015,4103-015-035,4103-015-015*
4103018007,,
4103021006,,
4103021029,,
4103022009,,
4105015060,4105-015-060,4105-015-060*
4107020007,,
4107022007,4107-022-033,4107-022-007*
4107024028,,
4112030021,,
4112030022,,
4116033037,,
4116033049,,
4119037042,,
4122016003,,
4125009196,4125-009-196,4125-009-196*
4125009197,4125-009-196,4125-009-197*
4125011005,,
4125011006,4125-011-052,4125-011-006*
4125011010,,
4125011011,,
4125011012,,
4125011013,4125-011-051,4125-011-013*
4125011014,4125-011-051,4125-011-014*
4125012001,,
4125012010,4125-012-016,4125-012-010*
4125012011,4125-012-016,4125-012-011*
4125014004,4125-014-029,4125-014-004*
4125014005,4125-014-029,4125-014-005*
4125014022,4125-014-030,4125-014-022*
4125014030,4125-014-030,
4125015001,,
4125015002,,
4125016009,,
4125017002,4125-017-020,4125-017-002*
4125017003,4125-017-020,4125-017-003*
4125017009,,
4125017010,,
4125022916,4125-022-916,
4125023007,4125-023-931,4125-023-007*
4125023026,4125-023-925,4125-023-026*
4125023928,4125-023-928,
4128003918,4128-003-918,
4128003919,4128-003-919,
4128003920,4128-003-920,
4128005022,4128-005-925,4128-005-022*
4128005924,4128-005-924,
4128009036,4128-009-930,4128-009-036*
4128010001,4128-010-921,4128-010-001*
4128010019,4128-010-923,4128-010-019*
4128010020,4128-010-922,4128-010-020*
4128010918,4128-010-918,
4128011021,4128-011-919,4128-011-021*
4128011911,4128-011-911,
